mysql> select i.f,i.c,e.f,e.c from incomefamily i,expensefamily e where i.f=e.f;
+------+------+------+------+
| f    | c    | f    | c    |
| 1215 |    9 | 1215 |  220 |
| 1216 |    3 | 1216 |  205 |
| 1218 |    6 | 1218 |  303 |
| 1219 |    6 | 1219 |  323 |
|  122 |    9 | 122  |  306 |
| 1220 |    6 | 1220 |  351 |
| 1221 |    9 | 1221 |  305 |
| 1222 |    6 | 1222 |  338 |
| 1223 |    3 | 1223 |  298 |
| 1225 |   15 | 1225 |  261 |
| 1226 |    3 | 1226 |  210 |
| 1227 |    3 | 1227 |  346 |
| 1228 |    6 | 1228 |  391 |
| 1229 |    3 | 1229 |  255 |
|  123 |    3 | 123  |  358 |
| 1231 |   15 | 1231 |  312 |
| 1232 |    6 | 1232 |  351 |
| 1233 |    3 | 1233 |  352 |
| 1234 |    9 | 1234 |  405 |
| 1235 |    6 | 1235 |  220 |
| 1237 |    3 | 1237 |  309 |
| 1238 |    9 | 1238 |  375 |
| 1239 |    3 | 1239 |  309 |
| 1240 |    6 | 1240 |  422 |
| 1241 |   12 | 1241 |  378 |
| 1242 |    3 | 1242 |  403 |
| 1243 |    6 | 1243 |  181 |
| 1244 |   18 | 1244 |  288 |
| 1245 |    3 | 1245 |  238 |
| 1246 |    3 | 1246 |  226 |
| 1247 |    9 | 1247 |  240 |
| 1248 |   12 | 1248 |  328 |
| 1249 |    6 | 1249 |  207 |
|  125 |    6 | 125  |  367 |
| 1250 |    9 | 1250 |  196 |
| 1251 |    9 | 1251 |  201 |
| 1252 |    9 | 1252 |  158 |
| 1254 |    6 | 1254 |  210 |
| 1256 |    3 | 1256 |  327 |
| 1257 |    6 | 1257 |  282 |
|  126 |    6 | 126  |  605 |
| 1260 |    6 | 1260 |  351 |
| 1261 |    3 | 1261 |  322 |
| 1262 |    6 | 1262 |  318 |
| 1263 |   21 | 1263 |  379 |
| 1264 |   21 | 1264 |  350 |
| 1267 |    9 | 1267 |  272 |
| 1270 |    9 | 1270 |  359 |
| 1271 |    6 | 1271 |  373 |
| 1274 |    3 | 1274 |  381 |
| 1278 |    6 | 1278 |  379 |
| 1279 |    3 | 1279 |  266 |
|  128 |    3 | 128  |  569 |
| 1280 |    6 | 1280 |  242 |
| 1281 |    9 | 1281 |  273 |
| 1283 |   12 | 1283 |  379 |
| 1285 |   12 | 1285 |  383 |
| 1286 |    9 | 1286 |  335 |
| 1287 |    3 | 1287 |  297 |
| 1288 |    3 | 1288 |  309 |
| 1289 |    3 | 1289 |  269 |
| 1294 |    3 | 1294 |  359 |
| 1297 |    9 | 1297 |  371 |
|   13 |    6 | 13   |  320 |
|  130 |    9 | 130  |  551 |
| 1300 |    3 | 1300 |  225 |
| 1301 |    6 | 1301 |  227 |
| 1302 |    3 | 1302 |  225 |
| 1303 |   15 | 1303 |  211 |
| 1304 |    6 | 1304 |  227 |
| 1306 |    6 | 1306 |  325 |
| 1308 |    9 | 1308 |  298 |
| 1310 |    3 | 1310 |  439 |
| 1312 |   12 | 1312 |  477 |
| 1313 |    9 | 1313 |  464 |
| 1314 |    3 | 1314 |  317 |
| 1315 |    6 | 1315 |  388 |
| 1316 |   12 | 1316 |  422 |
| 1319 |    6 | 1319 |  435 |
| 1320 |    9 | 1320 |  361 |
| 1321 |    9 | 1321 |  379 |
| 1322 |    6 | 1322 |  466 |
| 1323 |   15 | 1323 |  457 |
| 1324 |    3 | 1324 |  389 |
| 1325 |    6 | 1325 |  530 |
| 1326 |    3 | 1326 |  452 |
| 1327 |    9 | 1327 |  502 |
| 1328 |    6 | 1328 |  452 |
| 1329 |    6 | 1329 |  382 |
|  133 |   12 | 133  |  755 |
| 1330 |    9 | 1330 |  246 |
| 1332 |    3 | 1332 |  179 |
| 1333 |    3 | 1333 |  204 |
| 1336 |    6 | 1336 |  263 |
| 1337 |    3 | 1337 |  249 |
| 1338 |    3 | 1338 |  265 |
| 1339 |    9 | 1339 |  253 |
|  134 |    6 | 134  |  777 |
| 1340 |    9 | 1340 |  455 |
| 1341 |    6 | 1341 |  435 |
| 1342 |    3 | 1342 |  359 |
| 1343 |    6 | 1343 |  453 |
| 1344 |    6 | 1344 |  406 |
| 1347 |   18 | 1347 |  512 |
| 1348 |    6 | 1348 |  418 |
| 1349 |    9 | 1349 |  427 |
| 1351 |    9 | 1351 |  327 |
| 1352 |    6 | 1352 |  306 |
| 1353 |    6 | 1353 |  293 |
| 1354 |    9 | 1354 |  267 |
| 1355 |   27 | 1355 |  259 |
| 1356 |    9 | 1356 |  279 |
| 1357 |    6 | 1357 |  281 |
| 1358 |    9 | 1358 |  321 |
| 1359 |    6 | 1359 |  263 |
|  136 |    9 | 136  |  711 |
| 1360 |    6 | 1360 |  390 |
| 1361 |    6 | 1361 |  377 |
| 1362 |    6 | 1362 |  348 |
| 1363 |    6 | 1363 |  415 |
| 1364 |    9 | 1364 |  345 |
| 1365 |    9 | 1365 |  408 |
| 1366 |    6 | 1366 |  393 |
| 1368 |   12 | 1368 |  410 |
|  137 |    9 | 137  |  770 |
| 1371 |   15 | 1371 |  327 |
| 1372 |    9 | 1372 |  318 |
| 1373 |   18 | 1373 |  318 |
| 1374 |    9 | 1374 |  335 |
| 1375 |   24 | 1375 |  349 |
| 1376 |    6 | 1376 |  325 |
| 1379 |   12 | 1379 |  309 |
|  138 |    6 | 138  |  480 |
| 1380 |   12 | 1380 |  348 |
| 1381 |    3 | 1381 |  421 |
| 1382 |    3 | 1382 |  600 |
| 1383 |   12 | 1383 |  556 |
| 1384 |   18 | 1384 |  456 |
| 1385 |   18 | 1385 |  562 |
| 1386 |    3 | 1386 |  385 |
| 1387 |    9 | 1387 |  474 |
| 1389 |    6 | 1389 |  463 |
| 1391 |    6 | 1391 |  428 |
| 1392 |    6 | 1392 |  383 |
| 1393 |   12 | 1393 |  399 |
| 1394 |    3 | 1394 |  395 |
| 1396 |   12 | 1396 |  420 |
| 1398 |    9 | 1398 |  422 |
| 1399 |    6 | 1399 |  429 |
|  140 |    6 | 140  |  745 |
| 1400 |    6 | 1400 |  419 |
| 1402 |    3 | 1402 |  403 |
| 1405 |    6 | 1405 |  358 |
| 1406 |    6 | 1406 |  341 |
| 1407 |    3 | 1407 |  327 |
| 1408 |    6 | 1408 |  374 |
| 1409 |    6 | 1409 |  349 |
| 1410 |    6 | 1410 |  353 |
| 1411 |    6 | 1411 |  388 |
| 1412 |    6 | 1412 |  352 |
| 1414 |    6 | 1414 |  416 |
| 1416 |    6 | 1416 |  379 |
| 1417 |    9 | 1417 |  342 |
| 1418 |   12 | 1418 |  380 |
| 1419 |   30 | 1419 |  402 |
| 1420 |    6 | 1420 |  417 |
| 1421 |    6 | 1421 |  397 |
| 1422 |    9 | 1422 |  403 |
| 1423 |   15 | 1423 |  403 |
| 1424 |    6 | 1424 |  444 |
| 1426 |   24 | 1426 |  488 |
| 1427 |    9 | 1427 |  503 |
| 1428 |    6 | 1428 |  461 |
| 1429 |    6 | 1429 |  446 |
| 1431 |    3 | 1431 |  473 |
| 1432 |    6 | 1432 |  529 |
| 1436 |    6 | 1436 |  431 |
| 1437 |    3 | 1437 |  415 |
| 1438 |    3 | 1438 |  399 |
| 1439 |    6 | 1439 |  412 |
| 1440 |    9 | 1440 |  419 |
| 1441 |    6 | 1441 |  429 |
| 1443 |   18 | 1443 |  479 |
| 1444 |    6 | 1444 |  445 |
| 1445 |    6 | 1445 |  411 |
| 1446 |    6 | 1446 |  444 |
|  145 |    6 | 145  |  733 |
| 1457 |    6 | 1457 |  428 |
| 1458 |    6 | 1458 |  401 |
| 1459 |    6 | 1459 |  392 |
|  146 |   21 | 146  |  745 |
| 1460 |    3 | 1460 |  379 |
| 1461 |    6 | 1461 |  418 |
| 1462 |    6 | 1462 |  402 |
| 1464 |    9 | 1464 |  399 |
| 1466 |    6 | 1466 |  407 |
| 1468 |    6 | 1468 |  257 |
| 1469 |    6 | 1469 |  230 |
|  147 |    3 | 147  |  392 |
| 1470 |   15 | 1470 |  248 |
| 1471 |    6 | 1471 |  246 |
| 1472 |    6 | 1472 |  232 |
| 1473 |   18 | 1473 |  308 |
| 1474 |    3 | 1474 |  248 |
| 1475 |    6 | 1475 |  307 |
| 1478 |    6 | 1478 |  271 |
| 1479 |    9 | 1479 |  231 |
|  148 |   12 | 148  |  613 |
| 1480 |    3 | 1480 |  219 |
| 1481 |    6 | 1481 |  204 |
| 1482 |   12 | 1482 |  257 |
| 1483 |    6 | 1483 |  266 |
| 1484 |    6 | 1484 |  226 |
| 1485 |    6 | 1485 |  279 |
| 1486 |    6 | 1486 |  242 |
| 1487 |    6 | 1487 |  197 |
| 1488 |    3 | 1488 |  216 |
| 1489 |    6 | 1489 |  222 |
|  149 |    6 | 149  |  677 |
| 1490 |   12 | 1490 |  360 |
| 1491 |    6 | 1491 |  383 |
| 1493 |    9 | 1493 |  401 |
| 1494 |    6 | 1494 |  377 |
| 1495 |   21 | 1495 |  327 |
| 1496 |   15 | 1496 |  318 |
| 1497 |   15 | 1497 |  322 |
| 1498 |    3 | 1498 |  339 |
| 1499 |    9 | 1499 |  303 |
|  150 |    6 | 150  |  630 |
| 1501 |    9 | 1501 |  328 |
| 1502 |    9 | 1502 |  310 |
| 1503 |    6 | 1503 |  337 |
| 1504 |    9 | 1504 |  315 |
| 1506 |    6 | 1506 |  335 |
| 1507 |    6 | 1507 |  340 |
| 1508 |    6 | 1508 |  315 |
| 1509 |    6 | 1509 |  297 |
| 1511 |    6 | 1511 |  327 |
| 1513 |    3 | 1513 |  345 |
| 1514 |    3 | 1514 |  277 |
| 1516 |    6 | 1516 |  300 |
| 1519 |   24 | 1519 |  294 |
|  152 |    6 | 152  |  648 |
| 1523 |    6 | 1523 |  330 |
| 1527 |    6 | 1527 |  338 |
|  153 |    3 | 153  |  409 |
| 1530 |   12 | 1530 |  477 |
| 1536 |    9 | 1536 |  299 |
|  154 |    6 | 154  |  432 |
| 1540 |    3 | 1540 |  355 |
| 1541 |    3 | 1541 |  336 |
| 1545 |    6 | 1545 |  363 |
| 1548 |    6 | 1548 |  395 |
|  155 |    6 | 155  |  476 |
| 1550 |    3 | 1550 |  559 |
| 1551 |    3 | 1551 |  514 |
| 1553 |   12 | 1553 |  441 |
| 1554 |    6 | 1554 |  527 |
| 1555 |    6 | 1555 |  537 |
| 1556 |   12 | 1556 |  427 |
| 1557 |    6 | 1557 |  438 |
|  156 |    3 | 156  |  485 |
| 1560 |    3 | 1560 |  326 |
| 1562 |    6 | 1562 |  323 |
| 1563 |    3 | 1563 |  387 |
| 1565 |    6 | 1565 |  428 |
| 1566 |    6 | 1566 |  437 |
| 1567 |    3 | 1567 |  408 |
| 1568 |    6 | 1568 |  369 |
| 1569 |    6 | 1569 |  349 |
| 1571 |    6 | 1571 |  426 |
| 1572 |    9 | 1572 |  361 |
| 1574 |    6 | 1574 |  350 |
| 1575 |    6 | 1575 |  469 |
| 1576 |    6 | 1576 |  458 |
| 1577 |    3 | 1577 |  455 |
| 1578 |    6 | 1578 |  371 |
| 1579 |    3 | 1579 |  378 |
| 1581 |    3 | 1581 |  284 |
| 1582 |    6 | 1582 |  362 |
| 1584 |    6 | 1584 |  364 |
| 1587 |    3 | 1587 |  347 |
| 1588 |    3 | 1588 |  374 |
| 1589 |    3 | 1589 |  357 |
|  159 |    6 | 159  |  468 |
| 1590 |    3 | 1590 |  362 |
| 1591 |    6 | 1591 |  366 |
| 1592 |    3 | 1592 |  353 |
| 1594 |    6 | 1594 |  376 |
| 1595 |    6 | 1595 |  277 |
| 1596 |    3 | 1596 |  423 |
| 1597 |    3 | 1597 |  434 |
| 1598 |    3 | 1598 |  412 |
| 1599 |    6 | 1599 |  408 |
| 1600 |    3 | 1600 |  417 |
| 1601 |    3 | 1601 |  428 |
| 1602 |    3 | 1602 |  376 |
| 1603 |    3 | 1603 |  418 |
| 1604 |    6 | 1604 |  396 |
| 1605 |    3 | 1605 |  406 |
| 1606 |    3 | 1606 |  416 |
| 1609 |    6 | 1609 |  472 |
|  161 |    3 | 161  |  469 |
| 1610 |    3 | 1610 |  247 |
| 1611 |    9 | 1611 |  260 |
| 1612 |    6 | 1612 |  246 |
| 1613 |    6 | 1613 |  362 |
| 1617 |    6 | 1617 |  323 |
| 1619 |    6 | 1619 |  319 |
| 1620 |    3 | 1620 |  308 |
| 1623 |    3 | 1623 |  346 |
| 1625 |    9 | 1625 |  374 |
| 1626 |    3 | 1626 |  412 |
| 1627 |    6 | 1627 |  356 |
| 1629 |    3 | 1629 |  369 |
|  163 |   12 | 163  |  319 |
| 1630 |    6 | 1630 |  361 |
| 1631 |    3 | 1631 |  352 |
| 1635 |    3 | 1635 |  358 |
| 1636 |    9 | 1636 |  356 |
| 1638 |    3 | 1638 |  371 |
| 1639 |    3 | 1639 |  371 |
|  164 |   15 | 164  |  514 |
| 1640 |    3 | 1640 |  371 |
| 1641 |    3 | 1641 |  379 |
| 1642 |    3 | 1642 |  375 |
| 1643 |    6 | 1643 |  370 |
| 1644 |    3 | 1644 |  353 |
| 1645 |    3 | 1645 |  251 |
| 1646 |    6 | 1646 |  351 |
| 1648 |    3 | 1648 |  322 |
| 1649 |    3 | 1649 |  392 |
| 1650 |    6 | 1650 |  376 |
| 1651 |    3 | 1651 |  352 |
| 1654 |    3 | 1654 |  376 |
| 1655 |    6 | 1655 |  318 |
| 1656 |    6 | 1656 |  299 |
| 1657 |    3 | 1657 |  359 |
| 1658 |    9 | 1658 |  329 |
| 1659 |    3 | 1659 |  413 |
|  166 |   12 | 166  |  567 |
| 1660 |    6 | 1660 |  425 |
| 1661 |   12 | 1661 |  406 |
| 1663 |    6 | 1663 |  343 |
| 1664 |    6 | 1664 |  386 |
| 1665 |    9 | 1665 |  345 |
| 1666 |    3 | 1666 |  367 |
| 1667 |    3 | 1667 |  309 |
| 1668 |    9 | 1668 |  303 |
| 1669 |    3 | 1669 |  345 |
|  167 |   27 | 167  |  642 |
| 1670 |    9 | 1670 |  395 |
| 1671 |   15 | 1671 |  372 |
| 1672 |    6 | 1672 |  383 |
| 1673 |    3 | 1673 |  383 |
| 1674 |    9 | 1674 |  393 |
| 1675 |   12 | 1675 |  386 |
| 1676 |    6 | 1676 |  379 |
| 1677 |    6 | 1677 |  381 |
| 1678 |    3 | 1678 |  413 |
| 1679 |    3 | 1679 |  422 |
| 1680 |    6 | 1680 |  407 |
| 1681 |    3 | 1681 |  415 |
| 1682 |   15 | 1682 |  437 |
| 1683 |    6 | 1683 |  406 |
| 1684 |    6 | 1684 |  352 |
| 1685 |    9 | 1685 |  449 |
| 1686 |    3 | 1686 |  385 |
| 1687 |   15 | 1687 |  433 |
| 1688 |    9 | 1688 |  411 |
| 1689 |    3 | 1689 |  429 |
| 1690 |    3 | 1690 |  439 |
| 1691 |    6 | 1691 |  442 |
| 1692 |    3 | 1692 |  440 |
| 1693 |    6 | 1693 |  426 |
| 1694 |   12 | 1694 |  257 |
| 1695 |   15 | 1695 |  259 |
| 1696 |   12 | 1696 |  249 |
| 1697 |    3 | 1697 |  271 |
| 1698 |   18 | 1698 |  249 |
| 1699 |    9 | 1699 |  290 |
|  170 |    6 | 170  |  490 |
| 1700 |    3 | 1700 |  231 |
| 1701 |   12 | 1701 |  250 |
| 1702 |   15 | 1702 |  264 |
| 1703 |    3 | 1703 |  407 |
| 1704 |    6 | 1704 |  387 |
| 1705 |    6 | 1705 |  377 |
| 1706 |    6 | 1706 |  407 |
| 1707 |   24 | 1707 |  548 |
| 1708 |   12 | 1708 |  441 |
| 1709 |    3 | 1709 |  389 |
| 1710 |   12 | 1710 |  445 |
| 1711 |    6 | 1711 |  377 |
| 1717 |    3 | 1717 |  309 |
| 1718 |    3 | 1718 |  394 |
| 1719 |    3 | 1719 |  335 |
|  172 |    9 | 172  |  472 |
| 1720 |    3 | 1720 |  367 |
| 1722 |    6 | 1722 |  294 |
| 1723 |    6 | 1723 |  380 |
| 1724 |    6 | 1724 |  394 |
| 1725 |    3 | 1725 |  454 |
| 1727 |    9 | 1727 |  317 |
| 1728 |    3 | 1728 |  294 |
| 1729 |    3 | 1729 |  343 |
| 1730 |    6 | 1730 |  362 |
| 1731 |    6 | 1731 |  392 |
| 1732 |    3 | 1732 |  347 |
| 1733 |    3 | 1733 |  445 |
| 1735 |    6 | 1735 |  373 |
| 1736 |   15 | 1736 |  428 |
| 1737 |    9 | 1737 |  352 |
| 1738 |   12 | 1738 |  375 |
|  174 |    9 | 174  |  436 |
| 1740 |    3 | 1740 |  373 |
| 1741 |    3 | 1741 |  332 |
| 1742 |    6 | 1742 |  378 |
| 1743 |    3 | 1743 |  342 |
| 1744 |    3 | 1744 |  288 |
| 1745 |    6 | 1745 |  356 |
| 1746 |    9 | 1746 |  372 |
| 1747 |    6 | 1747 |  335 |
| 1748 |    9 | 1748 |  364 |
| 1749 |    6 | 1749 |  375 |
|  175 |    6 | 175  |  456 |
| 1750 |   12 | 1750 |  373 |
| 1751 |    3 | 1751 |  461 |
| 1752 |    3 | 1752 |  297 |
| 1753 |    6 | 1753 |  384 |
| 1754 |   21 | 1754 |  415 |
| 1755 |    3 | 1755 |  411 |
| 1756 |    6 | 1756 |  423 |
| 1757 |   15 | 1757 |  429 |
| 1758 |   15 | 1758 |  352 |
| 1759 |    6 | 1759 |  375 |
| 1760 |    3 | 1760 |  398 |
| 1761 |    9 | 1761 |  381 |
| 1762 |    3 | 1762 |  416 |
| 1763 |    6 | 1763 |  420 |
| 1764 |    3 | 1764 |  402 |
| 1765 |   15 | 1765 |  468 |
| 1766 |    3 | 1766 |  424 |
| 1767 |    3 | 1767 |  438 |
| 1768 |    3 | 1768 |  370 |
| 1769 |    6 | 1769 |  403 |
|  177 |   12 | 177  |  411 |
| 1770 |   12 | 1770 |  439 |
| 1771 |    3 | 1771 |  414 |
| 1772 |    6 | 1772 |  423 |
| 1773 |   15 | 1773 |  264 |
| 1774 |    6 | 1774 |  284 |
| 1775 |    3 | 1775 |  304 |
| 1776 |    3 | 1776 |  327 |
| 1778 |    6 | 1778 |  244 |
| 1779 |    9 | 1779 |  284 |
|  178 |   12 | 178  |  412 |
| 1780 |   12 | 1780 |  266 |
| 1781 |   12 | 1781 |  275 |
| 1782 |    9 | 1782 |  294 |
| 1783 |    6 | 1783 |  360 |
| 1784 |    6 | 1784 |  350 |
|  179 |   18 | 179  |  435 |
|  180 |    9 | 180  |  393 |
| 1801 |    3 | 1801 |  467 |
| 1802 |    6 | 1802 |  342 |
| 1807 |    6 | 1807 |  307 |
|  181 |    3 | 181  |  403 |
| 1811 |    6 | 1811 |  431 |
| 1812 |    6 | 1812 |  418 |
| 1816 |    6 | 1816 |  617 |
| 1817 |    3 | 1817 |  559 |
| 1818 |    3 | 1818 |  679 |
| 1819 |    9 | 1819 |  630 |
| 1820 |    9 | 1820 |  586 |
| 1821 |   12 | 1821 |  661 |
| 1822 |    6 | 1822 |  657 |
| 1823 |   12 | 1823 |  697 |
| 1824 |    6 | 1824 |  626 |
| 1825 |    6 | 1825 |  466 |
| 1826 |    6 | 1826 |  576 |
| 1827 |   39 | 1827 |  559 |
| 1828 |    6 | 1828 |  568 |
| 1829 |    3 | 1829 |  503 |
| 1831 |    3 | 1831 |  548 |
| 1833 |    6 | 1833 |  422 |
| 1834 |    3 | 1834 |  396 |
| 1835 |   24 | 1835 |  465 |
| 1836 |    3 | 1836 |  488 |
| 1837 |    6 | 1837 |  401 |
| 1839 |    3 | 1839 |  454 |
| 1840 |    9 | 1840 |  495 |
| 1841 |    6 | 1841 |  474 |
| 1842 |    9 | 1842 |  469 |
| 1843 |    6 | 1843 |  489 |
| 1844 |    9 | 1844 |  473 |
| 1845 |    9 | 1845 |  457 |
| 1846 |    9 | 1846 |  515 |
| 1847 |    9 | 1847 |  525 |
| 1848 |    3 | 1848 |  356 |
| 1849 |    3 | 1849 |  407 |
|  185 |   12 | 185  |  406 |
| 1850 |    3 | 1850 |  366 |
| 1851 |    6 | 1851 |  379 |
| 1852 |    6 | 1852 |  201 |
| 1853 |    6 | 1853 |  227 |
| 1854 |    6 | 1854 |  294 |
| 1855 |    3 | 1855 |  237 |
| 1857 |    3 | 1857 |  379 |
| 1858 |    6 | 1858 |  387 |
| 1859 |    6 | 1859 |  371 |
|  186 |    6 | 186  |  349 |
| 1860 |    6 | 1860 |  381 |
| 1861 |    6 | 1861 |  371 |
