mysql> SELECT FS_ID,MEM_ID,SUM(INCOME1)+SUM(INCOME2)+SUM(INCOME3)+SUM(INCOME4) AS CY ,COUNT(MEM_ID)AS MONTHS_COUNT FROM INCOME GROUP BY FS_ID,MEM_ID ;
+-------+--------+-------+--------------+
| FS_ID | MEM_ID | CY    | MONTHS_COUNT |
|    34 |      1 |   990 |            3 |
|    34 |      2 |   600 |            3 |
|    34 |      3 |   600 |            3 |
|    35 |      1 |  1029 |            3 |
|    35 |      2 |   579 |            3 |
|    35 |      3 |   807 |            3 |
|    45 |      1 |  6375 |            3 |
|    46 |      1 | 14529 |            3 |
|    46 |      2 |  9687 |            3 |
|    50 |      1 |  1032 |            3 |
|    50 |      2 |   708 |            3 |
|    52 |      1 |   639 |            3 |
|    53 |      1 |  4176 |            3 |
|    53 |      2 |   795 |            3 |
|    53 |      3 |   483 |            3 |
|    53 |      4 |   516 |            3 |
|    61 |      1 |  4500 |            6 |
|    65 |      1 |  8067 |            3 |
|    65 |      2 |  2850 |            3 |
|    65 |      3 |  2493 |            3 |
|    65 |      4 |  3567 |            3 |
|    65 |      5 |  3207 |            3 |
|    66 |      1 |  4500 |            3 |
|    66 |      2 |     0 |            3 |
|    67 |      1 |  4500 |            3 |
|    67 |      2 |     0 |            3 |
|    67 |      3 |  4278 |            3 |
|    68 |      1 |  3567 |            3 |
|    68 |      2 |  3567 |            3 |
|    70 |      1 |  4500 |            3 |
|    71 |      1 |  4500 |            3 |
|    71 |      2 |  7134 |            3 |
|    71 |      3 |  7134 |            3 |
|    73 |      1 | 10383 |            3 |
|    73 |      2 |  4992 |            3 |
|    73 |      3 |  5349 |            3 |
|    73 |      4 |  4278 |            3 |
|    73 |      5 |  2673 |            3 |
|    73 |      6 |     0 |            3 |
|    73 |      8 |     0 |            3 |
|    73 |      9 |     0 |            3 |
|    73 |     10 |     0 |            3 |
|    73 |     11 |     0 |            3 |
|    76 |      1 |  7134 |            3 |
|    76 |      2 |  5349 |            3 |
|    77 |      1 |  2250 |            3 |
|    77 |      2 |     0 |            3 |
|    79 |      1 |  1500 |            3 |
|    79 |      2 |     0 |            3 |
|    80 |      1 |  4500 |            3 |
|    80 |      5 |  2400 |            3 |
|    81 |      1 |     0 |            3 |
|    81 |      2 |     0 |            3 |
|    81 |      3 |  3567 |            3 |
|    81 |      4 |  4278 |            3 |
|    81 |      5 |  4278 |            3 |
|    84 |      1 |  4500 |            3 |
|    84 |      2 |     0 |            3 |
|    86 |      1 |  4500 |            3 |
|    86 |      2 |     0 |            3 |
|    86 |      3 |  2316 |            3 |
|    87 |      1 |  6567 |            3 |
|    88 |      1 | 21453 |            3 |
|    88 |      2 |  4635 |            3 |
|    88 |      3 |     0 |            3 |
|    88 |      4 | 11412 |            3 |
|    88 |      5 |  4278 |            3 |
|    91 |      1 |  2136 |            3 |
|    93 |      1 |  1800 |            3 |
|    95 |      1 |  6741 |            3 |
|    96 |      1 |  4500 |            3 |
|    96 |      3 |  3207 |            3 |
|    97 |      1 |  8367 |            3 |
|    97 |      2 |  8025 |            3 |
|    99 |      1 |  6567 |            3 |
|    99 |      2 |     0 |            3 |
|    99 |      3 |     0 |            3 |
|   100 |      1 |  4038 |            3 |
|   102 |      1 |  6756 |            3 |
|   103 |      1 |  3069 |            3 |
|   103 |      2 |  3105 |            3 |
|   104 |      1 |  8691 |            3 |
|   104 |      2 |  3333 |            3 |
|   106 |      1 |  3543 |            3 |
|   107 |      1 | 14274 |            3 |
|   108 |      1 |   765 |            3 |
|   108 |      2 |   669 |            3 |
|   109 |      1 |  1128 |            3 |
|   109 |      2 |  1596 |            3 |
|   110 |      1 |  2166 |            3 |
|   110 |      2 |   645 |            3 |
|   110 |      3 |  2076 |            3 |
|   111 |      1 |  1122 |            3 |
|   111 |      2 |   801 |            3 |
|   112 |      1 |   801 |            3 |
|   112 |      2 |   807 |            3 |
|   113 |      1 |   804 |            3 |
|   113 |      2 |   180 |            3 |
|   114 |      1 |   804 |            3 |
|   117 |      1 |   807 |            3 |
|   118 |      1 |   804 |            3 |
|   118 |      2 |   486 |            3 |
|   120 |      1 | 14274 |            3 |
|   122 |      1 |   480 |            3 |
|   122 |      2 |   480 |            3 |
|   122 |      3 |   480 |            3 |
|   123 |      1 |   798 |            3 |
|   125 |      1 |   807 |            3 |
|   125 |      2 |  1935 |            3 |
|   126 |      1 |  2256 |            3 |
|   126 |      2 |  2421 |            3 |
|   128 |      1 |   546 |            3 |
|   130 |      1 |   801 |            3 |
|   130 |      2 |  1125 |            3 |
|   130 |      4 |  1125 |            3 |
|   133 |      1 | 18768 |            3 |
|   133 |      2 |  3567 |            3 |
|   133 |      3 |     0 |            3 |
|   133 |      4 |     0 |            3 |
|   134 |      1 |  3567 |            3 |
|   134 |      2 |  2673 |            3 |
|   136 |      1 |  4500 |            3 |
|   136 |      2 |     0 |            3 |
|   136 |      3 |     0 |            3 |
|   137 |      1 |  4500 |            3 |
|   137 |      2 |     0 |            3 |
|   137 |      3 |  7707 |            3 |
|   138 |      1 |  4200 |            3 |
|   138 |      2 |     0 |            3 |
|   140 |      1 | 11877 |            3 |
|   140 |      2 |  5703 |            3 |
|   145 |      1 | 13845 |            3 |
|   145 |      2 |  4278 |            3 |
|   146 |      1 |     0 |            3 |
|   146 |      2 |     0 |            3 |
|   146 |      3 |  7134 |            3 |
|   146 |      4 |     0 |            3 |
|   146 |      5 |  3567 |            3 |
|   146 |      9 |  3567 |            3 |
|   146 |     12 |  4278 |            3 |
|   147 |      1 |  7992 |            3 |
|   148 |      1 |  6000 |            3 |
|   148 |      2 |     0 |            3 |
|   148 |      3 |     0 |            3 |
|   148 |      4 |     0 |            3 |
|   149 |      1 |  5400 |            3 |
|   149 |      2 |     0 |            3 |
|   150 |      1 |  9921 |            3 |
|   150 |      2 |  3207 |            3 |
|   152 |      1 | 52200 |            3 |
|   152 |      2 |     0 |            3 |
|   153 |      1 |  3000 |            3 |
|   154 |      1 |  3567 |            3 |
|   154 |      2 |  2493 |            3 |
|   155 |      1 |  4500 |            3 |
|   155 |      2 |     0 |            3 |
|   156 |      1 | 11991 |            3 |
|   159 |      1 |     0 |            3 |
|   159 |      2 |     0 |            3 |
|   161 |      1 |  7134 |            3 |
|   163 |      1 |     0 |            3 |
|   163 |      2 |  6000 |            3 |
|   163 |      3 |     0 |            3 |
|   163 |      4 |  3567 |            3 |
|   164 |      1 |  6000 |            3 |
|   164 |      2 |     0 |            3 |
|   164 |      3 |  5349 |            3 |
|   164 |      4 |  3207 |            3 |
|   164 |      5 |  3567 |            3 |
|   166 |      1 |  6000 |            3 |
|   166 |      2 |     0 |            3 |
|   166 |      3 |  3567 |            3 |
|   166 |      4 |  2850 |            3 |
|   167 |      1 |  6000 |            3 |
|   167 |      3 |  4635 |            3 |
|   167 |      4 |  4458 |            3 |
|   167 |      5 |  3921 |            3 |
|   167 |      6 |  4635 |            3 |
|   167 |     10 |  4812 |            3 |
|   167 |     11 |  3207 |            3 |
|   167 |     12 |  5349 |            3 |
|   167 |     13 |  5526 |            3 |
|   170 |      1 |  6000 |            3 |
|   170 |      2 |     0 |            3 |
|   172 |      1 |  5109 |            3 |
|   172 |      2 |  6000 |            3 |
|   172 |      5 |     0 |            3 |
|   174 |      1 |  4500 |            3 |
|   174 |      2 |     0 |            3 |
|   174 |      3 |     0 |            3 |
|   175 |      1 | 10917 |            3 |
|   175 |      2 |  4278 |            3 |
|   177 |      1 |  4500 |            3 |
|   177 |      2 |     0 |            3 |
|   177 |      3 |  3567 |            3 |
|   177 |      5 |  3567 |            3 |
|   178 |      1 |  8778 |            3 |
|   178 |      2 |  3567 |            3 |
|   178 |      3 |  5349 |            3 |
|   178 |      4 |  6417 |            3 |
|   179 |      1 |  4500 |            3 |
|   179 |      2 |  4278 |            3 |
|   179 |      3 |  3567 |            3 |
|   179 |      4 |     0 |            3 |
|   179 |      9 |  3567 |            3 |
|   179 |     10 |  3567 |            3 |
|   180 |      1 |  4500 |            3 |
|   180 |      2 |  NULL |            3 |
|   180 |      3 |     0 |            3 |
|   181 |      1 |  4500 |            3 |
|   185 |      1 |  4500 |            3 |
|   185 |      2 |     0 |            3 |
|   185 |      4 |  5349 |            3 |
|   185 |      9 |  4278 |            3 |
|   186 |      1 |  4500 |            3 |
|   186 |      2 |     0 |            3 |
|   187 |      1 |     0 |            3 |
|   187 |      2 |     0 |            3 |
|   188 |      1 |  4500 |            3 |
|   188 |      2 |     0 |            3 |
|   188 |      3 |  4992 |            3 |
|   188 |      4 |  3567 |            3 |
|   190 |      1 |  8634 |            3 |
|   191 |      1 |  1500 |            3 |
|   191 |      2 |  1287 |            3 |
|   195 |      1 |  6000 |            3 |
|   195 |      2 |     0 |            3 |
|   195 |      3 |  3207 |            3 |
|   195 |      7 |  4278 |            3 |
|   195 |      8 |  4635 |            3 |
|   195 |     13 |     0 |            3 |
|   198 |      1 |  6000 |            3 |
|   198 |      2 |     0 |            3 |
|   201 |      1 |  6600 |            3 |
|   201 |      3 |  3567 |            3 |
|   202 |      1 | 14202 |            3 |
|   202 |      7 |  3921 |            3 |
|   205 |      1 |  9849 |            3 |
|   205 |      2 |  3567 |            3 |
|   205 |      3 |     0 |            3 |
|   207 |      1 |     0 |            3 |
|   207 |      2 |     0 |            3 |
|   208 |      1 |  3000 |            3 |
|   208 |      2 |     0 |            3 |
|   208 |      3 |  3567 |            3 |
|   209 |      1 | 12273 |            3 |
|   209 |      2 |  3744 |            3 |
|   211 |      1 |  6954 |            3 |
|   211 |      2 |  3567 |            3 |
|   211 |      3 |     0 |            3 |
|   212 |      1 |  4992 |            3 |
|   213 |      1 |  1500 |            3 |
|   215 |      1 |  4500 |            3 |
|   215 |      3 |  6417 |            3 |
|   216 |      1 |  7917 |            3 |
|   216 |      2 |  7134 |            3 |
|   217 |      1 |  4500 |            3 |
|   217 |      2 |     0 |            3 |
|   218 |      1 |  4278 |            3 |
|   218 |      2 |  3567 |            3 |
|   218 |      3 |  4278 |            3 |
|   218 |      4 |  3567 |            3 |
|   219 |      1 |  4500 |            3 |
|   219 |      2 |     0 |            3 |
|   219 |      3 |  6417 |            3 |
|   219 |      4 |  5349 |            3 |
|   219 |      5 |  5349 |            3 |
|   219 |      6 |  6417 |            3 |
|   221 |      1 |  6849 |            3 |
|   221 |      2 |  6417 |            3 |
|   221 |      3 |     0 |            3 |
|   221 |      4 |     0 |            3 |
|   223 |      1 | 17835 |            3 |
|   223 |      2 |  5349 |            3 |
|   225 |      1 |  6600 |            3 |
|   225 |      2 |     0 |            3 |
|   225 |      4 |  3384 |            3 |
|   225 |      5 |  1782 |            3 |
|   225 |      7 |  3567 |            3 |
|   226 |      1 |  7134 |            3 |
|   226 |      2 |  3567 |            3 |
|   227 |      1 |  5400 |            3 |
|   227 |      2 |     0 |            3 |
|   227 |      3 |  2316 |            3 |
|   229 |      1 |  5400 |            3 |
|   229 |      2 |     0 |            3 |
|   230 |      1 |  3993 |            3 |
|   231 |      1 |  6567 |            3 |
|   231 |      2 |  3567 |            3 |
|   233 |      1 | 10035 |            3 |
|   233 |      2 |     0 |            3 |
|   234 |      1 |  4500 |            3 |
|   234 |      3 |  2838 |            3 |
|   234 |      5 |  2478 |            3 |
|   234 |      6 |  3567 |            3 |
|   237 |      1 | 11634 |            3 |
|   237 |      4 |  2136 |            3 |
|   237 |      5 |  4278 |            3 |
|   237 |      9 |  3567 |            3 |
|   239 |      1 |  5817 |            3 |
|   239 |      2 |  2673 |            3 |
|   241 |      1 |  4500 |            3 |
|   241 |      7 |  3921 |            3 |
|   241 |      8 |  2136 |            3 |
|   242 |      1 | 13500 |            3 |
|   242 |      2 |     0 |            3 |
|   243 |      1 |  8667 |            3 |
|   243 |      2 |  3924 |            3 |
|   244 |      1 |  6000 |            3 |
|   244 |      2 |     0 |            3 |
|   244 |      3 |  4992 |            3 |
|   244 |      4 |  5349 |            3 |
|   244 |      5 |  4278 |            3 |
|   244 |      6 |  5349 |            3 |
|   245 |      1 |  4500 |            3 |
|   245 |      2 |     0 |            3 |
|   245 |      3 |  4278 |            3 |
|   245 |      4 |  5703 |            3 |
|   246 |      1 |  6849 |            3 |
|   246 |      2 |  3567 |            3 |
|   247 |      1 |  7134 |            3 |
|   247 |      2 |  4278 |            3 |
|   249 |      1 |  4500 |            3 |
|   249 |      2 |     0 |            3 |
|   249 |      3 |  7134 |            3 |
|   249 |      4 |  4278 |            3 |
|   252 |      1 | 10200 |            3 |
|   252 |      2 |  7134 |            3 |
|   252 |      3 |  5349 |            3 |
|   252 |      4 |  4278 |            3 |
|   252 |      5 |  3921 |            3 |
|   252 |      6 |  3027 |            3 |
|   252 |      7 |     0 |            3 |
|   254 |      1 |  3600 |            3 |
|   254 |      2 |  5349 |            3 |
|   254 |      3 |  4278 |            3 |
|   256 |      1 | 20268 |            3 |
|   256 |      2 |  6060 |            3 |
|   258 |      1 | 25335 |            3 |
|   258 |      2 |     0 |            3 |
|   258 |      3 |     0 |            3 |
|   258 |      4 |     0 |            3 |
|   259 |      1 | 14091 |            3 |
|   259 |      2 |  3921 |            3 |
|   259 |      3 |     0 |            3 |
|   261 |      1 |  9000 |            3 |
|   261 |      2 |     0 |            3 |
|   261 |      3 |  6060 |            3 |
|   261 |      4 |  2850 |            3 |
|   262 |      1 | 12417 |            3 |
|   262 |      2 |  3387 |            3 |
|   262 |      6 |     0 |            3 |
|   264 |      1 | 18000 |            3 |
|   264 |      2 |     0 |            3 |
|   264 |      3 |     0 |            3 |
|   265 |      1 | 12000 |            3 |
|   265 |      2 |     0 |            3 |
|   265 |      3 |  8916 |            3 |
|   265 |      4 |  8559 |            3 |
|   265 |      5 |  7134 |            3 |
|   265 |      6 |  7134 |            3 |
|   265 |      7 |  3672 |            3 |
|   266 |      1 | 16101 |            3 |
|   266 |      2 |  9987 |            3 |
|   267 |      1 | 12534 |            3 |
|   267 |      2 |  3567 |            3 |
|   268 |      1 |  5400 |            3 |
|   268 |      2 |     0 |            3 |
|   271 |      1 |  6000 |            3 |
|   272 |      1 |  3567 |            3 |
|   272 |      2 |  2136 |            3 |
|   273 |      1 |  6000 |            3 |
|   273 |      2 |     0 |            3 |
|   273 |      3 |  2673 |            3 |
|   274 |      1 |  5349 |            3 |
|   274 |      2 |  3567 |            3 |
|   275 |      1 |  4635 |            3 |
|   276 |      1 | 15873 |            3 |
|   276 |      2 |     0 |            3 |
|   276 |      3 |  2850 |            3 |
|   277 |      1 | 10203 |            3 |
|   277 |      2 |     0 |            3 |
|   277 |      3 |  3027 |            3 |
|   278 |      1 |  4500 |            3 |
|   278 |      2 |     0 |            3 |
|   278 |      3 |  6060 |            3 |
|   278 |      4 |  3567 |            3 |
|   278 |      6 |     0 |            3 |
|   279 |      1 |  4500 |            3 |
|   279 |      2 |     0 |            3 |
|   279 |      3 |  4635 |            3 |
|   280 |      1 |  4500 |            3 |
|   280 |      2 |  5349 |            3 |
|   280 |      3 |  3207 |            3 |
|   280 |      4 |  3387 |            3 |
|   281 |      1 |  4500 |            3 |
|   281 |      2 |  3207 |            3 |
|   281 |      3 |     0 |            3 |
|   282 |      1 |  9384 |            3 |
|   283 |      1 | 10203 |            3 |
|   283 |      2 |     0 |            3 |
|   286 |      1 |  4500 |            3 |
|   286 |      2 |     0 |            3 |
|   286 |      3 |  4278 |            3 |
|   286 |      4 |  3207 |            3 |
|   288 |      1 |  5577 |            3 |
|   288 |      2 |     0 |            3 |
|   288 |      3 |     0 |            3 |
|   289 |      1 |  6078 |            3 |
|   290 |      1 |  4500 |            3 |
|   290 |      2 |  2493 |            3 |
|   291 |      1 |  4500 |            3 |
|   291 |      2 |     0 |            3 |
|   291 |      3 |     0 |            3 |
|   292 |      1 | 11634 |            3 |
|   293 |      1 |  4407 |            3 |
|   293 |      2 |  2493 |            3 |
|   293 |      3 |     0 |            3 |
|   295 |      1 |  6000 |            3 |
|   295 |      4 |  6060 |            3 |
|   297 |      1 |  6000 |            3 |
|   297 |      3 |  6417 |            3 |
|   300 |      1 |  6000 |            3 |
|   300 |      2 |     0 |            3 |
|   300 |      3 |  5703 |            3 |
|   301 |      1 |     0 |            3 |
|   301 |      2 |  3207 |            3 |
|   301 |      3 |     0 |            3 |
|   302 |      1 |  9000 |            3 |
|   302 |      2 | 14268 |            3 |
|   302 |      3 |     0 |            3 |
|   302 |      4 |     0 |            3 |
|   303 |      1 |  9492 |            3 |
|   303 |      2 |  5349 |            3 |
|   303 |      3 |     0 |            3 |
|   303 |      4 |     0 |            3 |
|   304 |      1 |  7581 |            3 |
|   304 |      2 |  4131 |            3 |
|   304 |      3 |     0 |            3 |
|   306 |      1 |  4500 |            3 |
|   306 |      2 |     0 |            3 |
|   306 |      3 |     0 |            3 |
|   306 |      4 |     0 |            3 |
|   308 |      1 |  4500 |            3 |
|   308 |      2 |     0 |            3 |
|   308 |      3 |  3207 |            3 |
|   309 |      1 | 11586 |            3 |
|   309 |      2 |     0 |            3 |
|   309 |      3 |  5349 |            3 |
|   310 |      1 | 11634 |            3 |
|   310 |      2 |     0 |            3 |
|   312 |      1 |  8421 |            3 |
|   312 |      2 |  4635 |            3 |
|   313 |      1 |  4500 |            3 |
|   313 |      2 |     0 |            3 |
|   313 |      3 |  2850 |            3 |
|   313 |      4 |  4992 |            3 |
|   313 |      7 |  5349 |            3 |
|   313 |      8 |  3027 |            3 |
|   314 |      1 |  4500 |            3 |
|   314 |      2 |  4635 |            3 |
|   314 |      3 |     0 |            3 |
|   314 |      5 |  2850 |            3 |
|   314 |      6 |  4278 |            3 |
|   315 |      1 |     0 |            3 |
|   315 |      2 |     0 |            3 |
|   315 |      3 |     0 |            3 |
|   315 |      4 |     0 |            3 |
|   316 |      1 |  5703 |            3 |
|   316 |      2 |  4992 |            3 |
|   317 |      1 |  9741 |            3 |
|   317 |      2 |  3921 |            3 |
|   317 |      3 |  4278 |            3 |
|   317 |      4 |  4458 |            3 |
|   318 |      1 |  2100 |            3 |
|   318 |      2 |     0 |            3 |
|   318 |      3 |  3027 |            3 |
|   318 |      4 |  2640 |            3 |
|   318 |      5 |     0 |            3 |
|   319 |      1 |  8700 |            3 |
|   319 |      2 |  6600 |            3 |
|   320 |      1 |  2100 |            3 |
|   320 |      3 |     0 |            3 |
|   320 |      4 |     0 |            3 |
|   320 |      5 |     0 |            3 |
|   323 |      1 |  6135 |            3 |
|   324 |      1 |  6792 |            3 |
|   324 |      2 |  2136 |            3 |
|   325 |      1 |  2400 |            3 |
|   325 |      2 |  4101 |            3 |
|   326 |      1 |  4800 |            3 |
|   326 |      2 |  3207 |            3 |
|   327 |      1 |  1800 |            3 |
|   328 |      1 |  6294 |            3 |
|   328 |      2 |  5598 |            3 |
|   329 |      1 |  3000 |            3 |
|   329 |      2 |  4278 |            3 |
|   329 |      3 |  3567 |            3 |
|   329 |      4 |  1068 |            3 |
|   329 |      5 |     0 |            3 |
|   329 |      6 |     0 |            3 |
|   329 |      7 |     0 |            3 |
|   330 |      1 |  7737 |            3 |
|   330 |      2 |  3420 |            3 |
|   330 |      3 |     0 |            3 |
|   330 |      4 |  3813 |            3 |
|   333 |      1 |  1500 |            3 |
|   333 |      2 |  3207 |            3 |
|   333 |      3 |     0 |            3 |
|   334 |      1 |  5133 |            3 |
|   335 |      1 |  1500 |            3 |
|   336 |      1 |  7203 |            3 |
|   336 |      2 |  1959 |            3 |
|   336 |      3 |     0 |            3 |
|   336 |      4 |     0 |            3 |
|   337 |      1 |  5400 |            3 |
|   337 |      2 |     0 |            3 |
|   337 |      3 |  6060 |            3 |
|   337 |      4 |     0 |            3 |
|   337 |      5 |     0 |            3 |
|   338 |      1 |  9135 |            3 |
|   338 |      3 |  4278 |            3 |
|   339 |      1 |  7134 |            3 |
|   339 |      2 |  6417 |            3 |
|   340 |      1 |  7503 |            3 |
|   340 |      2 |  3387 |            3 |
|   341 |      1 |  6243 |            3 |
|   341 |      2 |  3672 |            3 |
|   347 |      1 |  2238 |            3 |
|   348 |      1 |  2190 |            3 |
|   349 |      1 |  2388 |            3 |
|   349 |      2 |  2673 |            3 |
|   351 |      1 |   966 |            3 |
|   358 |      1 |  3264 |            3 |
|   358 |      5 |  1614 |            3 |
|   359 |      1 |  1290 |            3 |
|   360 |      1 |   321 |            3 |
|   360 |      2 |   321 |            3 |
|   365 |      1 |  3216 |            3 |
|   366 |      1 |  2850 |            3 |
|   366 |      2 |  3567 |            3 |
|   368 |      1 |  1929 |            3 |
|   368 |      2 |     0 |            3 |
|   368 |      3 |     0 |            3 |
|   369 |      1 |   555 |            3 |
|   369 |      2 |   225 |            3 |
|   372 |      1 |  1809 |            3 |
|   375 |      1 |   810 |            3 |
|   375 |      2 |   420 |            3 |
|   376 |      1 |  6729 |            3 |
|   376 |      7 |  2598 |            3 |
|   378 |      1 |  8046 |            3 |
|   380 |      1 |  2895 |            3 |
|   382 |      1 |   642 |            3 |
|   382 |      2 |   450 |            3 |
|   382 |      3 |   900 |            3 |
|   382 |      4 |   321 |            3 |
|   383 |      1 |   240 |            3 |
|   383 |      2 |   270 |            3 |
|   383 |      3 |   210 |            3 |
|   384 |      1 |  1290 |            3 |
|   384 |      2 |  2163 |            3 |
|   389 |      1 |     0 |            3 |
|   389 |      2 |  2136 |            3 |
|   389 |      3 |     0 |            3 |
|   392 |      1 |     0 |            3 |
|   393 |      1 |  6417 |            3 |
|   393 |      2 |  4635 |            3 |
|   399 |      1 |     0 |            3 |
|   400 |      1 |  4992 |            3 |
|   400 |      2 |     0 |            3 |
|   405 |      1 |     0 |            3 |
|   405 |      2 |     0 |            3 |
|   409 |      1 |  4671 |            3 |
|   409 |      2 |     0 |            3 |
|   409 |      3 |     0 |            3 |
|   409 |      4 |     0 |            3 |
|   409 |      5 |     0 |            3 |
|   412 |      1 |  7062 |            3 |
|   414 |      1 |  4671 |            3 |
|   414 |      2 |  2904 |            3 |
|   415 |      1 |  4101 |            3 |
|   415 |      2 |  4242 |            3 |
|   417 |      1 |  4320 |            3 |
|   420 |      1 |     0 |            3 |
|   420 |      2 |  3300 |            3 |
|   420 |      3 |     0 |            3 |
|   422 |      1 |  4170 |            3 |
|   423 |      1 |  9222 |            3 |
|   423 |      2 |     0 |            3 |
|   425 |      1 |  7938 |            3 |
|   425 |      2 |  3207 |            3 |
|   426 |      1 |  9567 |            3 |
|   426 |      2 |  4422 |            3 |
|   429 |      1 |  1500 |            3 |
|   429 |      2 |     0 |            3 |
|   429 |      3 |     0 |            3 |
|   430 |      1 |  1488 |            3 |
|   432 |      1 |  3192 |            3 |
|   434 |      1 |  1530 |            3 |
|   436 |      1 |   804 |            3 |
|   436 |      2 |   678 |            3 |
|   438 |      1 |  1050 |            3 |
|   438 |      2 |   960 |            3 |
|   438 |      3 |  2259 |            3 |
|   442 |      1 |  1608 |            3 |
|   442 |      2 |   999 |            3 |
|   443 |      1 |  1224 |            3 |
|   443 |      2 |   870 |            3 |
|   444 |      1 |  1998 |            3 |
|   444 |      2 |  1128 |            3 |
|   446 |      1 |  1305 |            3 |
|   446 |      2 |   807 |            3 |
|   447 |      1 |  1452 |            3 |
|   449 |      1 |  1188 |            3 |
|   449 |      2 |  1548 |            3 |
|   449 |      3 |     0 |            3 |
|   449 |      4 |     0 |            3 |
|   450 |      1 |   840 |            3 |
|   450 |      2 |  1350 |            3 |
|   450 |      3 |  1515 |            3 |
|   452 |      1 |     0 |            3 |
|   452 |      2 |     0 |            3 |
|   452 |      3 |  2730 |            3 |
|   453 |      1 |  1614 |            3 |
|   453 |      2 |  2034 |            3 |
|   454 |      1 |  1446 |            3 |
|   454 |      2 |     0 |            3 |
|   454 |      3 |  1128 |            3 |
|   455 |      1 |  1200 |            3 |
|   455 |      2 |  1773 |            3 |
|   456 |      1 |  1062 |            3 |
|   456 |      2 |  1128 |            3 |
|   456 |      3 |   966 |            3 |
|   458 |      1 |  1350 |            3 |
|   458 |      2 |     0 |            3 |
|   461 |      1 |  1290 |            3 |
|   461 |      2 |   600 |            3 |
|   462 |      1 |  1548 |            3 |
|   463 |      1 |  1290 |            3 |
|   463 |      2 |   837 |            3 |
|   464 |      1 |  1050 |            3 |
|   464 |      2 |   837 |            3 |
|   465 |      1 |   960 |            3 |
|   465 |      2 |  1128 |            3 |
|   465 |      3 |  1110 |            3 |
|   466 |      1 |   960 |            3 |
|   466 |      2 |   995 |            3 |
|   468 |      1 |  1548 |            3 |
|   470 |      1 |  2580 |            3 |
|   470 |      2 |     0 |            3 |
|   470 |      3 |     0 |            3 |
|   471 |      1 |  2097 |            3 |
|   472 |      1 |  1548 |            3 |
|   472 |      2 |  1227 |            3 |
|   473 |      1 |  2709 |            3 |
|   474 |      1 |  1608 |            3 |
|   474 |      2 |  1287 |            3 |
|   475 |      1 |  1287 |            9 |
|   475 |      2 |   807 |            3 |
|   476 |      1 |  1290 |            3 |
|   477 |      1 |  1932 |            3 |
|   478 |      1 |  1500 |            3 |
|   478 |      3 |  1935 |            3 |
|   479 |      1 |  2097 |            3 |
|   480 |      1 |  1500 |            3 |
|   481 |      1 |  4197 |            3 |
|   481 |      2 |  3225 |            3 |
|   482 |      1 |  1515 |            3 |
|   482 |      2 |   837 |            3 |
|   482 |      3 |     0 |            3 |
|   483 |      1 |  1128 |            3 |
|   483 |      2 |   966 |            3 |
|   483 |      3 |     0 |            3 |
|   484 |      1 |  3300 |            3 |
|   484 |      2 |     0 |            3 |
|   485 |      1 |  1356 |            3 |
|   485 |      2 |     0 |            3 |
|   485 |      3 |     0 |            3 |
|   487 |      1 |  1743 |            3 |
|   487 |      2 |   450 |            3 |
|   487 |      3 |     0 |            3 |
|   490 |      1 |  1350 |            3 |
|   491 |      1 |  1611 |            3 |
|   491 |      2 |  1485 |            3 |
