mysql> SELECT FS_ID,SUM(CY) AS CY,COUNT(MEM_ID) AS EARNERS FROM INCOME_MEM_EARNERS WHERE CY<>0 GROUP BY FS_ID ;
+-------+-------+---------+
| FS_ID | CY    | EARNERS |
|   475 |  2094 |       2 |
|   476 |  1290 |       1 |
|   477 |  1932 |       1 |
|   478 |  3435 |       2 |
|   479 |  2097 |       1 |
|   480 |  1500 |       1 |
|   481 |  7422 |       2 |
|   482 |  2352 |       2 |
|   483 |  2094 |       2 |
|   484 |  3300 |       1 |
|   485 |  1356 |       1 |
|   487 |  2193 |       2 |
|   490 |  1350 |       1 |
|   491 |  3096 |       2 |
|   493 |  4833 |       1 |
|   494 |  1350 |       1 |
|   495 |  1611 |       1 |
|   496 |  1932 |       1 |
|   497 |  2028 |       2 |
|   500 |  2256 |       1 |
|   501 |  2742 |       2 |
|   507 |  3195 |       2 |
|   508 |  1479 |       2 |
|   509 |  1677 |       1 |
|   510 |  1548 |       1 |
|   511 |  1677 |       1 |
|   512 |  8628 |       2 |
|   513 |  5001 |       2 |
|   514 |  1515 |       1 |
|   515 |  4947 |       3 |
|   516 |  2838 |       1 |
|   517 |  1998 |       2 |
|   518 |  3291 |       2 |
|   519 |  1356 |       1 |
|   520 |  2586 |       1 |
|   521 |  2904 |       1 |
|   523 |  3597 |       2 |
|   525 |  4836 |       2 |
|   528 |  2808 |       2 |
|   529 |  1776 |       1 |
|   531 |  2976 |       2 |
|   532 |  2574 |       1 |
|   533 |   900 |       1 |
|   534 |  2094 |       1 |
|   535 |  1950 |       1 |
|   536 |  2739 |       1 |
|   538 |  2736 |       1 |
|   539 |  1614 |       1 |
|   541 |  4644 |       2 |
|   542 |  6090 |       2 |
|   543 |  1935 |       1 |
|   544 |  2316 |       2 |
|   545 |  4494 |       2 |
|   546 |  2259 |       1 |
|   547 |  1806 |       1 |
|   548 |  3015 |       2 |
|   549 |  2178 |       2 |
|   550 |  2259 |       1 |
|   551 |  2097 |       1 |
|   552 |  3066 |       2 |
|   553 |  2253 |       2 |
|   555 |  1287 |       2 |
|   560 |  3123 |       2 |
|   561 |  3165 |       2 |
|   563 |  4029 |       1 |
|   564 |  3222 |       2 |
|   565 | 12204 |       4 |
|   566 |  3327 |       2 |
|   567 |  2571 |       2 |
|   568 |  1170 |       2 |
|   571 |  1800 |       1 |
|   572 |  1932 |       1 |
|   573 |  2904 |       1 |
|   575 |  2739 |       2 |
|   577 |  3864 |       1 |
|   579 |  3867 |       1 |
|   580 |  1374 |       1 |
|   581 |  1762 |       1 |
|   582 |  3933 |       2 |
|   583 |  2064 |       1 |
|   584 |  2739 |       1 |
|   586 |  2817 |       3 |
|   587 |  3645 |       1 |
|   588 |  2064 |       1 |
|   590 |  1806 |       1 |
|   592 |  1872 |       1 |
|   596 |  2624 |       1 |
|   597 |  1842 |       2 |
|   598 |  4785 |       2 |
|   599 |  4206 |       3 |
|   601 |  2967 |       2 |
|   602 |  3873 |       1 |
|   603 |  2701 |       1 |
|   605 |  2088 |       1 |
|   606 |  3030 |       2 |
|   607 |  2262 |       2 |
|   608 |  1578 |       1 |
|   609 |  2235 |       1 |
|   610 |  2043 |       1 |
|   611 |  1935 |       1 |
|   612 |  3786 |       2 |
|   614 |  4320 |       1 |
|   615 |  2808 |       2 |
|   617 |  5130 |       2 |
|   621 |  5337 |       2 |
|   622 |  5211 |       4 |
|   627 |  1773 |       3 |
|   630 |  2250 |       1 |
|   631 |  5418 |       3 |
|   632 |  3243 |       2 |
|   634 |  1407 |       2 |
|   637 |  2028 |       2 |
|   638 |  1200 |       1 |
|   640 |  1950 |       1 |
|   641 |  1449 |       1 |
|   642 |  1935 |       1 |
|   643 |  3303 |       3 |
|   646 |   936 |       1 |
|   650 |  2334 |       2 |
|   653 |  1353 |       2 |
|   654 |  3873 |       1 |
|   655 |  2250 |       1 |
|   657 |  3453 |       2 |
|   658 |  4338 |       2 |
|   660 |  2643 |       3 |
|   662 |  1380 |       1 |
|   664 |  1479 |       1 |
|   665 |  2064 |       1 |
|   666 |  4008 |       2 |
|   667 |   900 |       1 |
|   668 |  1050 |       1 |
|   669 |  2172 |       2 |
|   670 |  2742 |       2 |
|   671 |  3831 |       1 |
|   672 |  1449 |       1 |
|   673 |  2409 |       1 |
|   674 |  1515 |       1 |
|   675 |  5994 |       3 |
|   677 |  2415 |       2 |
|   678 |  2709 |       3 |
|   679 |  2256 |       2 |
|   680 |  4839 |       3 |
|   681 |  2253 |       1 |
|   682 |  3750 |       2 |
|   683 |  5808 |       2 |
|   684 |  2901 |       1 |
|   685 |  4104 |       3 |
|   686 |  3066 |       2 |
|   687 |  1800 |       1 |
|   688 |  6108 |       2 |
|   690 |  2094 |       2 |
|   691 |  1818 |       2 |
|   693 |  5154 |       1 |
|   694 |  2253 |       2 |
|   695 |  4200 |       2 |
|   696 |  1029 |       1 |
|   697 |  2064 |       1 |
|   698 |  2250 |       1 |
|   699 |  1800 |       1 |
|   701 |  3126 |       2 |
|   702 |  2712 |       2 |
|   703 |  1854 |       2 |
|   704 |  1704 |       2 |
|   705 |  1911 |       1 |
|   707 |  1128 |       1 |
|   708 |  2259 |       1 |
|   709 |  4344 |       2 |
|   710 |  2583 |       2 |
|   711 |  1614 |       1 |
|   713 |  2091 |       1 |
|   714 |  1092 |       1 |
|   715 |  1500 |       1 |
|   716 |  2724 |       2 |
|   718 |  2499 |       1 |
|   719 |  3015 |       2 |
|   720 |  2169 |       2 |
|   722 |  2310 |       2 |
|   724 |  3174 |       2 |
|   726 |  1998 |       2 |
|   727 |  2736 |       2 |
|   729 |  3741 |       2 |
|   730 |  1371 |       1 |
|   731 |  2097 |       1 |
|   732 |  8697 |       2 |
|   733 |  3861 |       1 |
|   735 |  3057 |       2 |
|   736 |  2088 |       1 |
|   739 |  1677 |       1 |
|   740 |  1050 |       1 |
|   741 |  3054 |       2 |
|   742 |  1356 |       1 |
|   743 |  1938 |       1 |
|   744 |  2772 |       2 |
|   745 |  3258 |       3 |
|   746 |  2049 |       1 |
|   749 |  1158 |       1 |
|   750 |  3273 |       2 |
|   751 |  1809 |       1 |
|   752 |  3063 |       2 |
|   753 |  2823 |       2 |
|   754 |  2586 |       1 |
|   755 |  2445 |       1 |
|   756 |  2451 |       1 |
|   758 |  2925 |       1 |
|   759 |  2223 |       2 |
|   760 |  3264 |       2 |
|   761 |  7272 |       4 |
|   762 |  1935 |       1 |
|   763 |  2580 |       2 |
|   764 |  2577 |       2 |
|   766 |  5500 |       1 |
|   767 |  4550 |       1 |
|   774 |  6039 |       3 |
|   776 |  2085 |       1 |
|   777 |  5370 |       1 |
|   778 |  2805 |       2 |
|   780 |  1290 |       1 |
|   781 |  1935 |       1 |
|   783 |  1449 |       1 |
|   784 |  1290 |       1 |
|   785 |  1128 |       1 |
|   786 |  4515 |       3 |
|   787 |  3387 |       2 |
|   788 |  1608 |       1 |
|   789 |  1050 |       1 |
|   790 |   900 |       1 |
|   791 |  4656 |       2 |
|   792 |  2256 |       1 |
|   793 |  1452 |       1 |
|   795 |  3867 |       1 |
|   797 |  2421 |       1 |
|   798 |  3294 |       2 |
|   799 |  2583 |       1 |
|   800 |  2829 |       3 |
|   802 |  3000 |       1 |
|   803 |  1470 |       1 |
|   804 |  1110 |       1 |
|   805 |  1452 |       1 |
|   807 |  1806 |       1 |
|   808 |  3705 |       3 |
|   809 |  3003 |       3 |
|   810 |  2091 |       1 |
|   811 |  1935 |       1 |
|   812 |  4029 |       1 |
|   813 |  2904 |       2 |
|   814 |  5400 |       2 |
|   816 |  1050 |       2 |
|   817 |  1836 |       1 |
|   818 |  1440 |       1 |
|   823 |  1419 |       1 |
|   824 |  1800 |       1 |
|   825 |  3126 |       3 |
|   826 |  1950 |       1 |
|   828 |  2703 |       1 |
|   830 |  2583 |       1 |
|   831 |  2256 |       1 |
|   835 |  1200 |       1 |
|   837 |  3600 |       1 |
|   838 |  1614 |       1 |
|   839 |  2577 |       1 |
|   840 |  2652 |       2 |
|   842 |  2580 |       2 |
|   846 |  1350 |       2 |
|   847 |  2340 |       1 |
|   848 |  3549 |       2 |
|   849 |  1500 |       1 |
|   851 |  3600 |       1 |
|   852 |  2412 |       1 |
|   854 |  3531 |       1 |
|   855 |  6852 |       4 |
|   856 |  2892 |       1 |
|   859 |  1680 |       1 |
|   860 |  1386 |       1 |
|   861 |  2031 |       1 |
|   862 |  2499 |       1 |
|   864 |  2190 |       2 |
|   865 |  2574 |       2 |
|   866 |  2160 |       1 |
|   868 |  3309 |       2 |
|   869 |  2250 |       2 |
|   870 |  2577 |       2 |
|   871 |  2094 |       1 |
|   872 |  1611 |       1 |
|   874 |  1128 |       1 |
|   875 |  1452 |       1 |
|   876 |  2193 |       2 |
|   877 |  3225 |       2 |
|   878 |  2097 |       1 |
|   879 |  1800 |       1 |
|   880 |  1140 |       1 |
|   882 |  1365 |       2 |
|   885 |  1773 |       1 |
|   886 |  2403 |       1 |
|   887 |  2031 |       1 |
|   888 |  2565 |       1 |
|   889 |  1773 |       1 |
|   890 |  6492 |       2 |
|   891 |  2097 |       1 |
|   893 |  1200 |       1 |
|   894 |  2742 |       1 |
|   895 |  3549 |       2 |
|   899 |  4512 |       1 |
|   900 |  2259 |       1 |
|   902 |  2904 |       1 |
|   904 |  3345 |       3 |
|   906 |  6669 |       1 |
|   907 |  2904 |       1 |
|   908 |  3000 |       1 |
|   910 |  4188 |       2 |
|   911 |  4842 |       1 |
|   912 |  3228 |       1 |
|   913 |  3873 |       2 |
|   915 |  4542 |       3 |
|   916 |  3972 |       2 |
|   917 |  3486 |       2 |
|   918 |  3063 |       2 |
|   919 |  1890 |       1 |
|   921 |  4776 |       3 |
|   922 |  2895 |       2 |
|   923 |  1836 |       2 |
|   925 |  2256 |       2 |
|   926 |  1161 |       2 |
|   927 |  1872 |       1 |
|   928 |  2100 |       1 |
|   929 |  2100 |       1 |
|   930 |  1935 |       2 |
|   931 |  7098 |       2 |
|   933 |  4056 |       3 |
|   934 |  2889 |       1 |
|   936 |  4227 |       2 |
|   937 |  2916 |       2 |
|   938 |  2742 |       1 |
|   939 |  3036 |       1 |
|   942 |  2550 |       1 |
|   943 |  4035 |       2 |
|   944 |  1545 |       2 |
|   945 |  1383 |       2 |
|   946 |  2700 |       1 |
|   947 |  1935 |       2 |
|   949 |  2256 |       1 |
|   950 |  2421 |       1 |
|   951 |  2094 |       1 |
|   952 |  1452 |       1 |
|   954 |  2904 |       1 |
|   955 |  4401 |       2 |
|   956 |  4998 |       2 |
|   957 |  4476 |       2 |
|   958 |  3222 |       1 |
|   959 |  6765 |       2 |
|   960 |  4194 |       2 |
|   961 |  1608 |       1 |
|   964 |  5565 |       4 |
|   965 |  3600 |       1 |
|   967 |  3258 |       2 |
|   968 |  1452 |       1 |
|   969 |  3996 |       2 |
|   970 |  2532 |       2 |
|   971 |  1608 |       2 |
|   972 |  1350 |       1 |
|   973 |  2097 |       1 |
|   974 |  1140 |       1 |
|   975 |  3867 |       2 |
|   977 |  3576 |       2 |
|   978 |  3591 |       2 |
|   979 |  3600 |       1 |
|   980 |  6066 |       2 |
|   981 |  8862 |       3 |
|   983 |  3867 |       1 |
|   984 |  2795 |       2 |
|   985 |  2898 |       1 |
|   986 |  2001 |       2 |
|   987 |  1650 |       1 |
|   988 |  2088 |       2 |
|   989 |  1452 |       1 |
|   990 |  2091 |       2 |
|   991 |  2580 |       2 |
|   992 |  1536 |       2 |
|   993 |  3729 |       3 |
|   995 |  1770 |       1 |
|   997 |  3864 |       1 |
|  1000 |  2964 |       2 |
|  1001 |  2742 |       1 |
|  1002 |  2289 |       1 |
|  1003 |   900 |       2 |
|  1004 |  2577 |       2 |
|  1008 |  1800 |       1 |
|  1009 |  2253 |       1 |
|  1010 |  1500 |       1 |
|  1011 |  3600 |       1 |
|  1012 |  1680 |       1 |
|  1014 |  2577 |       1 |
|  1015 |  2733 |       2 |
|  1018 |  3492 |       3 |
|  1019 |  3384 |       2 |
|  1020 |  2253 |       1 |
|  1021 |  2907 |       2 |
|  1022 |  1839 |       1 |
|  1023 |  2253 |       1 |
|  1024 |  2094 |       2 |
|  1025 |  1800 |       1 |
|  1026 |  4011 |       2 |
|  1027 |  2256 |       1 |
|  1028 |  3216 |       1 |
|  1030 |  3000 |       1 |
|  1031 |  1500 |       1 |
|  1032 |  2190 |       2 |
|  1033 |  1065 |       1 |
|  1034 |  2400 |       1 |
|  1037 |  3788 |       2 |
|  1038 |  2250 |       1 |
|  1040 |  3600 |       1 |
|  1041 |  2550 |       1 |
|  1042 |  1371 |       1 |
|  1043 |  3099 |       1 |
|  1044 |  1200 |       1 |
|  1045 |  1449 |       1 |
|  1046 |  2316 |       2 |
|  1048 |  1884 |       2 |
|  1049 |  3060 |       1 |
|  1050 |  1563 |       1 |
|  1051 |  2835 |       2 |
|  1052 |  7311 |       3 |
|  1054 |  3873 |       1 |
|  1055 |  3621 |       3 |
|  1059 |  2250 |       1 |
|  1060 |  1452 |       1 |
|  1061 |  2421 |       1 |
|  1062 |  1452 |       1 |
|  1064 |  1581 |       1 |
|  1066 |  1682 |       1 |
|  1067 |  3000 |       1 |
|  1068 |  2316 |       2 |
|  1069 |  3981 |       2 |
|  1070 |  3000 |       1 |
|  1071 |  2328 |       2 |
|  1072 |  2742 |       1 |
|  1073 |  2097 |       1 |
|  1074 |  1452 |       1 |
|  1075 |  2661 |       2 |
|  1077 |  3545 |       2 |
|  1078 |  4788 |       2 |
|  1079 |  2760 |       1 |
|  1080 |  2307 |       1 |
|  1081 |  3117 |       3 |
|  1082 |  2192 |       1 |
|  1088 |  2001 |       1 |
|  1089 |  1968 |       1 |
|  1090 |  2193 |       1 |
|  1092 |  2796 |       1 |
|  1094 |  2715 |       1 |
|  1095 |  1986 |       1 |
|  1096 |  1870 |       1 |
|  1097 |  2037 |       1 |
|  1099 |  4629 |       3 |
|  1100 |  4540 |       3 |
|  1101 |  5438 |       3 |
|  1102 |  4795 |       4 |
|  1103 |  1425 |       1 |
|  1104 |  2538 |       1 |
|  1105 |  3840 |       2 |
|  1106 |  5374 |       2 |
|  1107 |  3081 |       1 |
|  1108 |  5223 |       2 |
|  1109 |  4374 |       1 |
|  1110 |  6903 |       2 |
|  1111 |  3591 |       2 |
|  1116 |  5300 |       1 |
|  1117 |  3387 |       1 |
|  1118 |  4527 |       1 |
|  1124 | 24669 |       6 |
|  1125 | 15585 |       3 |
|  1126 | 12558 |       2 |
|  1127 |  5772 |       1 |
|  1128 | 33267 |       2 |
|  1130 | 13647 |       3 |
|  1131 | 22398 |       5 |
|  1132 |  5400 |       1 |
|  1133 |  3912 |       1 |
|  1134 | 17568 |       2 |
|  1136 | 13407 |       2 |
|  1137 |  2730 |       1 |
|  1138 |  8634 |       2 |
|  1139 |  9057 |       2 |
|  1142 | 11403 |       1 |
|  1143 | 10350 |       1 |
|  1144 | 14949 |       2 |
|  1145 |  6417 |       1 |
|  1146 | 11457 |       2 |
|  1149 | 14145 |       2 |
|  1150 | 16746 |       3 |
|  1151 |  5400 |       1 |
|  1152 | 12294 |       1 |
|  1153 | 20403 |       5 |
|  1154 | 11300 |       1 |
|  1155 | 13047 |       3 |
|  1158 | 24354 |       4 |
|  1159 |  1500 |       1 |
|  1161 |  5250 |       1 |
|  1162 |  9186 |       1 |
|  1163 |  7884 |       2 |
|  1165 | 13947 |       3 |
|  1166 | 10530 |       2 |
|  1167 | 13491 |       2 |
|  1168 | 17235 |       2 |
|  1169 | 18570 |       2 |
|  1170 | 14415 |       3 |
|  1171 | 13818 |       1 |
|  1173 |  9033 |       2 |
|  1174 |  7650 |       2 |
|  1175 |  7956 |       2 |
|  1176 | 12651 |       1 |
|  1177 | 10950 |       2 |
|  1178 | 12900 |       2 |
|  1179 | 13602 |       2 |
|  1180 |  8487 |       2 |
|  1181 |  7743 |       2 |
|  1183 | 12315 |       2 |
|  1184 | 15546 |       2 |
|  1185 | 15357 |       2 |
|  1186 |  5307 |       1 |
|  1188 |  1500 |       1 |
|  1190 |  5040 |       1 |
|  1191 |  5058 |       1 |
|  1192 | 20532 |       4 |
|  1193 | 12120 |       2 |
|  1194 | 19773 |       3 |
|  1195 | 10857 |       1 |
|  1196 | 14997 |       2 |
|  1197 | 14373 |       3 |
|  1198 | 15783 |       4 |
|  1201 |  5370 |       1 |
|  1202 | 10434 |       2 |
|  1203 | 11868 |       1 |
|  1204 | 11499 |       2 |
|  1205 | 15015 |       2 |
|  1206 | 20463 |       1 |
|  1209 | 10800 |       1 |
|  1211 |  7785 |       2 |
|  1212 | 16911 |       2 |
|  1214 |  9132 |       2 |
|  1215 |  5913 |       3 |
|  1216 |  4590 |       1 |
|  1218 |  6861 |       2 |
|  1219 |  6972 |       2 |
|  1220 |  4287 |       1 |
|  1221 |  4104 |       1 |
|  1222 |  7824 |       2 |
|  1225 |  7920 |       4 |
|  1226 |  2415 |       1 |
|  1227 |  5967 |       1 |
|  1228 |  3753 |       1 |
|  1229 |  2772 |       1 |
|  1231 |  2469 |       2 |
|  1232 |  3147 |       2 |
|  1233 |  3459 |       1 |
|  1234 |  4773 |       3 |
|  1235 |  3540 |       2 |
|  1237 |  6393 |       1 |
|  1238 |  5220 |       2 |
|  1239 |   921 |       1 |
|  1240 |  1401 |       2 |
|  1241 |  9612 |       3 |
|  1242 |  2286 |       1 |
|  1243 |  1890 |       2 |
|  1244 |  4323 |       1 |
|  1245 |  5487 |       1 |
|  1246 |  3225 |       1 |
|  1247 |  2580 |       1 |
|  1248 |  8550 |       3 |
|  1249 |  2949 |       2 |
|  1250 |  3420 |       2 |
|  1251 |  1350 |       1 |
|  1252 |  2340 |       2 |
|  1254 |  2220 |       1 |
|  1256 |  3954 |       1 |
|  1257 |  2211 |       2 |
|  1260 |  3714 |       2 |
|  1261 |  3576 |       1 |
|  1262 |  4194 |       1 |
|  1263 |  6381 |       1 |
|  1264 |  4467 |       1 |
|  1267 |  3153 |       2 |
|  1270 |  5661 |       3 |
|  1271 |  5616 |       2 |
|  1274 |  2316 |       1 |
|  1278 |  6444 |       2 |
|  1279 |  2163 |       1 |
|  1280 |  5826 |       2 |
|  1281 |  6966 |       3 |
|  1283 |  6945 |       3 |
|  1285 |  3981 |       3 |
|  1286 |  4776 |       2 |
|  1287 |  1797 |       1 |
|  1288 |  1918 |       1 |
|  1289 |  1800 |       1 |
|  1294 |  2421 |       1 |
|  1297 |  1840 |       2 |
|  1300 |  6500 |       1 |
|  1301 |  3759 |       2 |
|  1302 |  2064 |       1 |
|  1303 |  2901 |       3 |
|  1304 |  2982 |       2 |
|  1306 |  5397 |       2 |
|  1308 |  7329 |       3 |
|  1310 | 12246 |       1 |
|  1312 | 13305 |       3 |
|  1313 | 13869 |       3 |
|  1314 |  6000 |       1 |
|  1315 |  8622 |       2 |
|  1316 | 19869 |       4 |
|  1319 |  5604 |       2 |
|  1320 | 12942 |       2 |
|  1321 | 13341 |       3 |
|  1322 | 15225 |       2 |
|  1323 | 25437 |       4 |
|  1324 |  5322 |       1 |
|  1325 | 17583 |       2 |
|  1326 |  1500 |       1 |
|  1327 | 21699 |       3 |
|  1328 | 14682 |       2 |
|  1329 | 10647 |       2 |
|  1330 |  9147 |       3 |
|  1332 |  3000 |       1 |
|  1333 | 14352 |       1 |
|  1336 | 15090 |       2 |
|  1337 |  8520 |       1 |
|  1338 |  6000 |       1 |
|  1339 | 13575 |       3 |
|  1340 | 13167 |       3 |
|  1341 | 13047 |       2 |
|  1342 |  5700 |       1 |
